university, faculty, field_name, program_name,fee/term,r1,r2,r3,r4
จุฬาลงกรณ์มหาวิทยาลัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์,25500,60,-,80,-
จุฬาลงกรณ์มหาวิทยาลัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,25500,220,10,105,-
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19500,36,14,35,-
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์ กำแพงแสน, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19500,20,20,30,-
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์ ศรีราชา, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,29100,53,34,30,-
มหาวิทยาลัยเกษตรศาสตร์, คณะวิทยาศาสตร์และวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19500,92,86,40,15
มหาวิทยาลัยกาฬสินธุ์, คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,10500,10,10,10,20
มหาวิทยาลัยขอนแก่น, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,20000,32,38,34,-
มหาวิทยาลัยเชียงใหม่, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์,23000,69,43,10,-
มหาวิทยาลัยเชียงใหม่, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,50000,31,38,8,12
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),70000,-,44,9,21
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,30000,-,33,5,-
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์,25000,29,23,5,-
มหาวิทยาลัยเทคโนโลยีสุรนารี, สำนักวิชาวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ วิศวกรรมคอมพิวเตอร์,16425,10,-,-,-
มหาวิทยาลัยธรรมศาสตร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,18900,18,23,30,-
มหาวิทยาลัยนครพนม, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ,9025,30,30,30,-
มหาวิทยาลัยนราธิวาสราชนครินทร์, วิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ วิศวกรรมคอมพิวเตอร์,14000,10,27,20,5
มหาวิทยาลัยนเรศวร, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์,16000,31,25,60,20
มหาวิทยาลัยมหิดล, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์,30000,30,20,26,-
มหาวิทยาลัยรามคำแหง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),26875,20,20,80,-
มหาวิทยาลัยรามคำแหง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),50408,-,-,50,30
มหาวิทยาลัยวลัยลักษณ์, วิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,32700,80,50,10,5
มหาวิทยาลัยศรีนครินทรวิโรฒ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์,25000,38,7,15,8
มหาวิทยาลัยสงขลานครินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,18000,75,20,10,-
มหาวิทยาลัยสงขลานครินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์,28000,210,5,10,-
มหาวิทยาลัยอุบลราชธานี, คณะวิศวกรรมศาสตร์, วิศวกรรมปัญญาประดิษฐ์, วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ,28000,-,40,40,-
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,25000,85,45,20,5
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ),90000,80,15,5,10
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์,50000,115,30,5,-
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมปัญญาประดิษฐ์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ),175000,125,75,10,80
มหาวิทยาลัยราชภัฏสวนสุนันทา, คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์,18500,60,10,80,50
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),12253,5,15,10,10
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วิศวกรรมคอมพิวเตอร์,20000,20,-,-,-
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,15000,15,15,15,10
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี,15000,5,5,15,-
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,13750,7,2,1,1
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,13750,2,2,1,1
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,13750,10,10,-,20
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์,12000,10,4,2,-
มหาวิทยาลัยเกษมบัณฑิต, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์,35250,-,-,40,-
มหาวิทยาลัยเทคโนโลยีมหานคร, วิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,37500,-,-,50,-
มหาวิทยาลัยธุรกิจบัณฑิตย์, วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์,42125,30,30,30,-
มหาวิทยาลัยรังสิต, วิทยาลัยวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์,49600,-,-,30,-
มหาวิทยาลัยสยาม, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,37938,30,-,20,-
มหาวิทยาลัยหอการค้าไทย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),42500,60,-,60,-
สถาบันการจัดการปัญญาภิวัฒน์, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมปัญญาประดิษฐ์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,48000,40,15,15,-
