university,faculty,field_name,program_name,fee/term
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์, 25,500/ภาคเรียน
จุฬาลงกรณ์มหาวิทยาลัย,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,25,500/ภาคเรียน
มหาวิทยาลัยเกษตรศาสตร์,5. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19,500/ภาคเรียน
มหาวิทยาลัยเกษตรศาสตร์,21. คณะวิศวกรรมศาสตร์ กำแพงแสน,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19,500/ภาคเรียน
มหาวิทยาลัยเกษตรศาสตร์,30. คณะวิศวกรรมศาสตร์ ศรีราชา,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,ภาคการศึกษาละ 29,100 บาท
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,3. วิทยาการคอมพิวเตอร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,19,500/ภาคเรียน
มหาวิทยาลัยเกษตรศาสตร์,32. คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,5. วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,19,500/ภาคเรียน
มหาวิทยาลัยกาฬสินธุ์,4. คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,1. วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์,10,500/ภาคเรียน
มหาวิทยาลัยขอนแก่น,3. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,20,000/ภาคเรียน
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,23,000/ภาคเรียน
มหาวิทยาลัยเชียงใหม่,6. คณะวิศวกรรมศาสตร์,1. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,50,000/ภาคเรียน
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ),70,000/ภาคเรียน
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี,30,000/ภาคเรียน
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,1. คณะวิศวกรรมศาสตร์,2. วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,25,000/ภาคเรียน
มหาวิทยาลัยเทคโนโลยีสุรนารี,6. สำนักวิชาวิศวกรรมศาสตร์,4. วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,16,425/ภาคเรียน
